Camera_id,lat,lon,road,direction,gevi,timestamp
0,52.33299533422728,4.912429223981336,A2,R,23-1965,2019-10-01 00:00:00
1,52.30074807697328,4.9354032360795115,A2,R,23-1965,2019-10-01 00:03:00
2,52.26822938709066,4.960071155022462,A2,R,23-1965,2019-10-01 00:06:00
3,52.23390085520033,4.977230033721096,A2,R,23-1965,2019-10-01 00:09:00
4,52.19913242140251,4.986345964804506,A2,R,23-1965,2019-10-01 00:12:00
5,52.16331379009467,4.988513044732009,A2,R,23-1965,2019-10-01 00:15:00
6,52.13041311250813,5.011993247355398,A2,R,23-1965,2019-10-01 00:18:00
7,52.10758984813665,5.056668608099047,A2,R,23-1965,2019-10-01 00:21:00
8,52.074985069241805,5.0735669763425,A2,R,23-1965,2019-10-01 00:24:00
9,52.03970656684849,5.064040849238406,A2,R,23-1965,2019-10-01 00:27:00
10,52.004791417153356,5.07414802488949,A2,R,23-1965,2019-10-01 00:30:00
11,51.974946857132245,5.103815634730808,A2,R,23-1965,2019-10-01 00:33:00
12,51.94651333652976,5.138826860484592,A2,R,23-1965,2019-10-01 00:36:00
13,51.91853237623668,5.174636486749437,A2,R,23-1965,2019-10-01 00:39:00
14,51.88675675418774,5.201661227917301,A2,R,23-1965,2019-10-01 00:42:00
15,51.85530074883105,5.2296689004920935,A2,R,23-1965,2019-10-01 00:45:00
16,51.82421732209668,5.258685311860567,A2,R,23-1965,2019-10-01 00:48:00
17,51.78845390506895,5.257706010765294,A2,R,23-1965,2019-10-01 00:51:00
18,51.75831418989327,5.282534849633456,A2,R,23-1965,2019-10-01 00:54:00
19,51.72907202574427,5.31615885750254,A2,R,23-1965,2019-10-01 00:57:00
20,51.70111110342939,5.351057824493592,A2,R,23-1965,2019-10-01 01:00:00
21,51.67329815708089,5.326209256689053,A2,R,23-1965,2019-10-01 01:03:00
22,51.64636565194928,5.307873691265334,A2,R,23-1965,2019-10-01 01:06:00
23,51.61145841184307,5.320435210305924,A2,R,23-1965,2019-10-01 01:09:00
24,51.58319368153384,5.355358211183302,A2,R,23-1965,2019-10-01 01:12:00
25,51.548950751653166,5.36731415426732,A2,R,23-1965,2019-10-01 01:15:00
26,51.51866451830507,5.398363654991954,A2,R,23-1965,2019-10-01 01:18:00
27,51.48950448106522,5.426612816353992,A2,R,23-1965,2019-10-01 01:21:00
28,51.46251348432568,5.407053465665181,A2,R,23-1965,2019-10-01 01:24:00
29,51.431810205025045,5.4269844586851335,A2,R,23-1965,2019-10-01 01:27:00
30,51.405296429305345,5.447228001295398,A2,R,23-1965,2019-10-01 01:30:00
31,51.40155223833729,5.502944484747726,A2,R,23-1965,2019-10-01 01:33:00
